sep=;
Applied potential [V];WE current [A];WE current [A];WE current [A]
-0.099926736;-1.132026e-06;5.60872e-07;1.6928979999999999e-06
-0.101001;-7.36965e-07;1.2884299999999998e-07;8.658079999999999e-07
-0.102075;-6.27153e-07;-2.9312370000000003e-08;5.97841e-07
-0.10314999999999999;-5.84059e-07;-1.01499e-07;4.8256e-07
-0.104224;-5.62185e-07;-1.39999e-07;4.2218499999999997e-07
-0.10529899999999999;-5.48841e-07;-1.63186e-07;3.8565399999999997e-07
-0.106373;-5.39435e-07;-1.7828e-07;3.61154e-07
-0.107448;-5.31997e-07;-1.88561e-07;3.43435e-07
-0.108522;-5.25872e-07;-1.95999e-07;3.29873e-07
-0.109597;-5.21716e-07;-2.02342e-07;3.19373e-07
-0.11067099999999999;-5.16903e-07;-2.0671699999999998e-07;3.10186e-07
-0.111746;-5.12966e-07;-2.10217e-07;3.02748e-07
-0.11281999999999999;-5.09685e-07;-2.12842e-07;2.96842e-07
-0.113894;-5.06403e-07;-2.15467e-07;2.90936e-07
-0.11496899999999999;-5.03341e-07;-2.17217e-07;2.86123e-07
-0.116043;-5.00279e-07;-2.1852999999999999e-07;2.81748e-07
-0.117118;-4.97654e-07;-2.19624e-07;2.7803e-07
-0.11819199999999999;-4.95466e-07;-2.21155e-07;2.74311e-07
-0.119267;-4.93279e-07;-2.22249e-07;2.7103e-07
-0.12034099999999999;-4.91529e-07;-2.23124e-07;2.68405e-07
-0.121416;-4.8956e-07;-2.24217e-07;2.65342e-07
-0.12248999999999999;-4.8781e-07;-2.25092e-07;2.62717e-07
-0.123565;-4.86279e-07;-2.25748e-07;2.6053e-07
-0.124639;-4.8431e-07;-2.25748e-07;2.58561e-07
-0.125714;-4.83435e-07;-2.2618599999999998e-07;2.57248e-07
-0.12678799999999998;-4.82122e-07;-2.26623e-07;2.55498e-07
-0.127863;-4.8081e-07;-2.26842e-07;2.53967e-07
-0.128937;-4.794969999999999e-07;-2.27061e-07;2.52436e-07
-0.130012;-4.77966e-07;-2.27061e-07;2.50905e-07
-0.13108599999999998;-4.76872e-07;-2.27498e-07;2.49373e-07
-0.132161;-4.75997e-07;-2.2793599999999998e-07;2.48061e-07
-0.133235;-4.74685e-07;-2.28155e-07;2.4652999999999997e-07
-0.13430999999999998;-4.7359099999999997e-07;-2.2859199999999999e-07;2.44998e-07
-0.135384;-4.72279e-07;-2.28811e-07;2.43467e-07
-0.136459;-4.71622e-07;-2.29248e-07;2.42373e-07
-0.137533;-4.7074699999999997e-07;-2.2968599999999998e-07;2.41061e-07
-0.13860799999999998;-4.6943499999999997e-07;-2.29905e-07;2.3953e-07
-0.139682;-4.68122e-07;-2.30123e-07;2.3799799999999998e-07
-0.140757;-4.67466e-07;-2.30561e-07;2.36905e-07
-0.14183099999999998;-4.66154e-07;-2.30561e-07;2.3559199999999998e-07
-0.142905;-4.6527899999999997e-07;-2.3078e-07;2.3449799999999999e-07
-0.14398;-4.64185e-07;-2.3078e-07;2.33405e-07
-0.145054;-4.63091e-07;-2.3078e-07;2.32311e-07
-0.14612899999999998;-4.62216e-07;-2.3078e-07;2.31436e-07
-0.147203;-4.61341e-07;-2.3078e-07;2.30561e-07
-0.148278;-4.60247e-07;-2.3078e-07;2.29467e-07
-0.14935199999999998;-4.59154e-07;-2.30561e-07;2.2859199999999999e-07
-0.150427;-4.5806e-07;-2.3034199999999999e-07;2.27717e-07
-0.151501;-4.57185e-07;-2.30123e-07;2.27061e-07
-0.152576;-4.56529e-07;-2.3034199999999999e-07;2.2618599999999998e-07
-0.15364999999999998;-4.56091e-07;-2.30561e-07;2.2553e-07
-0.154725;-4.55654e-07;-2.3078e-07;2.24873e-07
-0.155799;-4.5477899999999997e-07;-2.30998e-07;2.2377999999999998e-07
-0.15687399999999999;-4.54122e-07;-2.31436e-07;2.2268599999999999e-07
-0.157948;-4.53466e-07;-2.31436e-07;2.2202999999999998e-07
-0.159023;-4.53029e-07;-2.31436e-07;2.21592e-07
-0.160097;-4.53248e-07;-2.3209199999999998e-07;2.21155e-07
-0.16117199999999998;-4.5281e-07;-2.3209199999999998e-07;2.20717e-07
-0.162246;-4.5237199999999997e-07;-2.3253e-07;2.19842e-07
-0.163321;-4.52154e-07;-2.32967e-07;2.19186e-07
-0.16439499999999999;-4.51935e-07;-2.33405e-07;2.1852999999999999e-07
-0.16547;-4.51279e-07;-2.3384199999999998e-07;2.17436e-07
-0.166544;-4.51279e-07;-2.3428e-07;2.16999e-07
-0.167619;-4.5062299999999997e-07;-2.3449799999999999e-07;2.1612399999999998e-07
-0.16869299999999998;-4.50404e-07;-2.34936e-07;2.15467e-07
-0.169768;-4.49966e-07;-2.35373e-07;2.14592e-07
-0.170842;-4.4931e-07;-2.3559199999999998e-07;2.13717e-07
-0.17191599999999999;-4.4931e-07;-2.3603e-07;2.1328e-07
-0.172991;-4.48435e-07;-2.3603e-07;2.12405e-07
-0.174065;-4.4821599999999997e-07;-2.3624799999999999e-07;2.11967e-07
-0.17514;-4.47779e-07;-2.36686e-07;2.11092e-07
-0.17621399999999998;-4.4712299999999997e-07;-2.36467e-07;2.10655e-07
-0.177289;-4.46685e-07;-2.36686e-07;2.09999e-07
-0.178363;-4.46248e-07;-2.36686e-07;2.09561e-07
-0.179438;-4.45154e-07;-2.3624799999999999e-07;2.08905e-07
-0.18051199999999998;-4.4471599999999997e-07;-2.3624799999999999e-07;2.0846699999999998e-07
-0.181587;-4.4405999999999997e-07;-2.3603e-07;2.0803e-07
